,37paddington.json,ageofuncertainty.json,ahomegrownjournal.json,angalmond.json,baileysbeerblog.json,blissout.json,boomergirlsguide.json,boyett-brinkley.json,cashonlyliving.json,chefowings.json,cheshire-wife.json,christasrandomthoughts.json,chuckgame.json,cocktailvirgin.json,crossblackcountry.json,crpgaddict.json,culturalsnow.json,cuponthebus.json,danabugseyeview.json,donnachloe.json,dorcassmucker.json,e-i-e-i-omg-bybiddie.json,ellenshead.json,esimsauthor.json,fatroland.json,feathersinthenest.json,fieldfen.json,fraiselachrymose.json,frankiesknittedstuff.json,frikosmusings.json,frugaldom.json,frugalistanbul.json,fruitsandgardening.json,gardenpunchlist.json,glassincarnate.json,growing-in-the-fens.json,gskgp.json,howtoplanwriteanddevelopabook.json,iheartcookingclubs.json,inkyfool.json,interimarrangements.json,johnkurman.json,jstheater.json,kathleenkirkpoetry.json,kimmy-cookingpleasure.json,kristinberkeyabbott.json,kristybowen.json,lesedgertononwriting.json,lifeatgoldenpines.json,lindahoof.json,littlehomesteadinboise.json,makedohomemaker.json,markmilliorn.json,meanqueen-lifeaftermoney.json,mercurie.json,milkingsquirrels.json,momsscribbles.json,mrssplapthing.json,mumssimplylivingblogat.json,myheartisalwayshome.json,mynext20yearsofliving.json,myrandomthoughtsblogaddress.json,mythreadbearlife.json,newamusements.json,newframereference.json,newlifeonthefarmlastchapter.json,northernlivingallowance.json,off-the-shelfbooks.json,onefamilyoneincome.json,opiejett.json,outmywindowtoday.json,picsandpiecing.json,pioneerwomanatheart.json,practical-parsimony.json,quickshout.json,randomphoto.json,randomthoughtsbytina.json,readingwhilewhite.json,relaxshacks.json,rightsizeandrethink.json,samandwriting.json,shadowsteve.json,shefalishahchoksi.json,simpleslug.json,slaythemonster.json,stitchesandseams.json,stopprocrastinatingandjustdoit.json,tabordays.json,talesfrombeyondthenook.json,teachertomsblog.json,tearoomofdespair.json,thatbritishwoman.json,thatextralevel.json,the-cooking-of-joy.json,thebuddhadiaries.json,theelementarymathmaniac.json,thewertzone.json,thriftathome.json,unbaggingthecats.json,understandingsociety.json,vegancrunk.json,walkingarizona.json,writinginthedarktw.json,Total
2024,1963,,611,2011,,,366,874,258,2001,,73,,4588,670,31669,,2044,2054,,,,5625,,345,,10165,,2228,,,594,,,9198,,,,855,,5159,2187,152,,,,,,,5967,1209,1541,,2432,30191,,,413,,871,,,841,600,222,,,,1233,,993,,10735,1753,,961,,,172,200,,15928,,,,1008,,1482,467,,14,955,299,,,,8558,,3607,,760,,2865,181967
2023,29632,,15346,114438,141023,22058,31562,49342,31100,89006,,14782,291,67504,19329,251400,13102,30929,20354,,27700,1739,83798,,8748,,141438,,15270,8318,1657,21022,5307,16953,15211,541,1386,5842,9164,3891,26939,13325,152,15266,,152511,82598,14786,11621,81152,9377,38822,61203,105517,213862,8736,17038,8884,,1524,7281,51087,25120,26889,26368,1693,,,205192,47711,47085,1749,101176,29420,,32157,49165,,646,446,,169524,,135838,2686,11009,,12587,19120,239041,92976,32317,28823,1061,,,77676,2009,151271,70618,37323,4519,50834,3964913
2022,38567,2842,20258,119978,138279,20997,26850,38359,27671,58961,995,15682,755,69276,23228,294569,10656,37067,28123,,29007,5253,86016,,23544,430,137366,3578,15099,11150,,33043,3713,10831,,,2202,6429,9674,,19860,16256,1751,27358,,163128,76274,7083,15664,94216,16844,51116,63500,127656,193876,16089,18347,12604,,2514,13952,58772,22082,32262,219359,1355,1.459,,271048,3343,135143,12024,77936,,,37922,56097,,1397,6620,,161890,6916,90795,561,,1368,20482,11153,228873,138129,2582,43129,1605,,,195174,4494,159360,108145,51125,9007,43038,4503181
2021,46093,1993,25825,124339,111658,21643,31672,20902,24640,79144,3735,7071,2290,69431,25511,342985,12085,47911,33537,,42175,13487,102647,,32235,742,163887,10873,22666,11332,1096,37212,8251,11270,2662,573,211,6926,10343,9500,23709,20553,2397,24003,14321,167991,147724,2675,18671,82672,34287,61048,61267,107258,114868,52723,17774,15593,,560,21641,101170,27905,41069,230841,4291,15.151,,288765,93329,154053,16504,83504,,1605,32856,53666,858,3213,,,161786,,145017,884,2964,3543,16431,4839,249476,76761,17895,25074,565,13656,662,213187,5607,189616,127460,57798,22072,46235,5042596
2020,44730,,35147,119523,127909,17305,48094,24514,60811,89760,8197,1705,7720,78945,28610,406667,18372,67591,36371,,53904,23020,110811,,60979,,101605,12362,20651,16536,168,39301,10575,15664,,5373,621,5968,12518,4715,27276,17860,2223,45841,23219,161194,87404,6376,21772,77636,35504,69218,67324,95512,,35332,30672,25023,4643,3602,32634,152125,24724,28512,236566,9959,1.902,13.062,247549,78459,125640,28824,90492,,6131,39444,60220,9627,2434,22760,,158481,1201,188399,2046,,1821,28750,,230499,83804,6276,44673,1783,53373,10723,231442,4178,198190,112680,82699,31596,42327,5280378
2019,38131,864,41680,126631,124020,15357,23540,18221,71732,98569,2956,1170,2053,102120,27544,264926,19873,47777,22783,,40368,40812,80199,2765,26765,2412,13431,5585,27489,17526,,40585,1173,34855,594,2416,2798,4413,9675,4099,31669,1561,3559,4829,14203,165720,112764,7086,24641,30486,31193,72644,81098,77295,,,50289,21320,5175,10997,48684,106784,24058,39677,156501,7259,27.198,79.388,205427,14074,141594,42731,95923,,8508,29750,75995,21870,2550,31212,,149580,1518,204420,3853,3852,3529,28324,,185711,106582,32009,49409,1371,47690,1737,232464,11576,221232,82438,74104,34265,30963,4820246
2018,44616,2425,51356,129993,133388,11512,29320,43618,107557,72988,658,3021,10945,97326,14007,286833,12958,66188,19827,,44100,50967,72493,34499,18313,,26288,5685,35199,13780,10002,23296,2348,28093,14852,1135,4445,5165,10935,5301,19319,613,82528,3116,18680,168529,90995,38364,20261,40961,48881,144781,74767,101903,,,35750,32246,8496,22365,36793,70143,22571,32111,159286,1741,15.177,130.019,171270,14821,119707,5112,59177,128012,4355,33691,77219,18994,4905,80747,,141888,,228071,8222,5737,5553,29942,,189201,98466,24839,63831,7425,53481,4830,281235,11791,245293,37265,106247,47227,14052,5288434
2017,49957,,47615,130729,143348,19171,33166,47490,7760,75273,4793,3838,39690,94491,18793,306773,9912,65805,26520,,50194,50377,76856,31086,35382,28386,58905,7595,27991,18597,4997,28709,1984,26320,157373,4090,3552,4811,10967,6796,34756,3833,37841,9162,39982,161804,42326,24244,23155,14985,35106,179414,65427,148751,,,40580,21534,13147,44765,20921,68871,24466,35188,146285,,27.509,144.271,169887,14121,114225,22889,54035,130826,19897,20551,75385,54265,9676,26386,,136322,6015,183801,1555,5728,6959,30603,405,192183,57606,23283,64246,10787,45860,12300,287187,26061,275601,82637,136385,38325,13445,5517852
2016,46425,13315,54324,117153,138010,39394,25231,57679,,38272,8067,12883,35960,108903,19964,246459,3700,36417,17227,,46616,49293,56517,30354,25753,8890,55828,9749,,21362,16372,7613,10602,26171,24199,22360,3857,4496,11543,2777,34019,42256,58261,14086,59704,178045,15748,30552,29251,,21170,216912,71633,159507,,,60578,30179,30365,38567,29406,54700,22083,17160,148181,,24.976,116.828,122662,1406,71111,14747,24908,75744,2274,21547,42461,67663,6500,,1874,125962,5439,199871,1959,10759,5525,33095,13625,194962,76286,26198,73327,9764,26148,8170,249669,18762,246926,98767,139593,30757,12443,5018806
2015,59518,22745,52231,120965,115654,31838,28165,44563,,9580,7362,12665,12239,119359,12167,255030,5879,51156,34283,242,57473,46009,57406,31409,18017,19498,66458,10830,,29307,33538,11655,1576,24949,8322,73850,2500,4811,11865,3686,28834,43514,78931,12438,63770,177121,24718,45020,26257,,30338,190249,59242,178424,,,62208,39542,31180,16277,26464,28953,30324,14902,121520,,22.085,155.876,144356,,141457,53617,21918,80185,3055,16694,86011,29396,14043,,25791,126357,6472,257457,454,7368,7402,49520,4738,218156,70152,58251,84322,14063,70633,31037,208713,25756,233379,83061,141708,39975,6876,5379360
2014,82813,33159,57181,109725,105197,14379,37587,53113,48466,16565,5922,27473,9932,60856,12172,321665,32104,79985,33724,6639,77389,58629,55057,26458,18296,46638,43690,14927,,41507,64920,24748,3148,22380,7772,109149,13801,19208,9656,8779,25632,48705,50339,34689,77069,183593,14685,77432,36043,,48439,,47913,198415,,,67378,46665,25824,20859,11360,,27429,13562,53039,,11.213,1.045,81053,,99157,28825,19698,129374,4140,16565,51850,,18184,,,116308,11675,255613,3869,20420,5469,48630,9478,229100,108239,40578,95906,38751,85547,105874,96141,30261,228050,102865,132798,26388,8998,5185941
2013,72767,36729,67006,116598,88918,14995,53175,33115,73218,20738,1970,22424,50992,104789,4277,328750,37416,62944,40722,675,52968,55904,51384,15162,9101,101328,23017,20657,,51367,98867,28962,,,8011,127973,21142,7463,16706,26022,28464,71810,95507,36549,83444,206686,38054,93982,35309,,48253,,45610,211330,,,35323,67778,35972,24415,26140,,29459,13470,,,12.169,,105987,,139594,38186,46965,121709,2800,17073,73502,,52313,,,116351,8878,234106,6301,37202,5204,56451,8636,239503,107136,78275,2750,39417,69594,60751,221946,41655,209467,131489,127427,54999,11437,5655080
2012,68244,56071,85041,151561,67866,30346,52192,37916,107074,2632,16537,38462,32939,131096,10316,185628,47259,76524,59644,6071,53414,73620,56971,,27143,93912,51166,25315,,59941,51170,19540,,,21788,97981,37749,38216,14920,31892,21587,88917,151654,66158,102697,204579,33140,69211,38315,,61978,,44837,200318,,,13865,72413,38259,22889,52674,,21274,16883,,,40.767,,96444,,117273,56088,51474,132642,9489,18623,66426,,78191,,,108362,13204,249915,4275,44603,5738,45722,1711,330373,105145,98410,,18924,135845,,188645,48566,86509,140573,100753,53185,7393,5795073
2011,86011,54310,122386,190886,5984,47396,25856,48115,92605,9004,12939,19243,3500,40615,9091,224888,42821,82384,78921,,58720,76086,74063,,32532,132244,87944,21398,,77131,117593,,,,43000,70770,27518,6278,15773,73470,22764,87691,156190,124133,48285,214449,37558,84686,52148,,17605,,43091,183735,,,16760,48644,20874,26630,104916,,,15292,,,833,,37618,,100349,68210,60392,148231,7088,21205,42210,,97300,,,58003,9352,221552,,117175,5838,40322,,316527,138914,111569,,,153636,,162088,39084,,163763,89055,30877,13231,5671348
2010,56541,64170,114504,143148,50884,28344,,17799,95930,17862,13610,8264,16505,,11948,169095,36789,,91725,688,58057,34395,84535,,61365,312156,79197,17129,,79961,45180,,,,44148,82327,58389,15499,17748,119518,24741,88610,81267,152183,54,154966,35576,161654,58903,,,,39080,142384,,,20652,43261,2585,26688,57463,,,30486,,,16.432,,9116,,,71249,36475,67941,12140,17360,30037,,,,,50462,12763,295623,,46166,9131,45867,,248660,85295,128876,,18085,169928,,172285,61670,,163903,89611,50726,,5077764
2009,43422,49144,105629,152569,47201,42974,,20617,8552,1746,24683,0,12679,,15201,,30671,,34560,428,67687,,83626,,46402,277310,73483,10140,,55157,,3920,,,93041,82164,32509,28914,4649,33597,317,14925,131981,5840,,120361,29571,,7322,,,,20576,98850,,,8845,43903,704,36973,,,,15854,,,31.791,,,,,79389,24661,,26389,19092,35428,,,,,66836,16716,240234,,33013,52904,62171,,158635,126802,152050,,42623,154534,,243813,3428,,173071,63732,34539,,3860548
2008,2962,50140,50484,97969,3300,24655,,26434,,,21912,,29118,,2322,,47805,,,616,74335,,,,13206,5080,7999,,,308,,,,,89131,47260,28592,10380,,,,,120905,,,12006,36532,366,,,,,,,,,,67854,,33973,,,,14853,,,24.702,,,,,84787,,,27211,14710,,,,,,57980,,,,61781,21616,36532,,,,101306,,9578,156910,,132951,,,146037,64168,18182,,1878948
2007,,44331,,,,56150,,1501,,,16918,,,,,,52018,,,5210,57276,,,,22694,,,,,,,,,,99643,,381,,,,,,162391,,,,52383,,,,,,,,,,,79900,,27223,,,,6132,,,,,,,,27503,,,1234,15337,,,,,,73040,,,,88485,,30517,,,,,,,166818,,52911,,,35568,2985,,,1178549
2006,,24067,,,,77081,,707,,,,,,,,,74826,,,10612,56833,,,,22102,,,,,,,,,,102835,,,,,,,,260971,,,,55741,,,,,,,,,,,124035,,7867,,,,6986,,,,,,,,,,,,18404,,,,,,27144,,,,32320,,48410,,,,,,,,,6627,,,,,,,957568
2005,,,,,,50676,,,,,,,,,,,7107,,,,43571,,,,6047,,,,,,,,,,,,,,,,,,268649,,,,58145,,,,,,,,,,,125736,,,,,,10390,,,,,,,,,,,,9455,,,,,,,,,,1657,,48482,,,,,,,,,,,,,,,,629915
2004,,,,,,62746,,,,,,,,,,,,,,,,,,,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3046,,,,,,,,,,633,,12765,,,,,,,,,,,,,,,,81089
Total,812.392,456.305,946.624,2.068.216,1.542.639,649.017,446.776,584.879,757.374,682.101,151.254,188.756,267.608,1.149.299,255.150,3.917.337,515.353,754.722,580.375,31.181,991.787,579.591,1.138.004,171.733,510.868,1.029.026,1.141.867,175.823,166.593,513.280,445.560,320.200,48.677,217.486,741.780,727.962,241.653,174.819,176.991,334.043,375.045,562.616,1.747.649,575.651,545.428,2.592.683,1.071.936,663.517,419.333,428.075,440.184,1.025.745,846.568,2.139.287,552.797,112.880,496.059,927.527,217.224,369.559,490.329,692.605,302.336,412.278,1.498.168,26.298,273.364,640.489,2.157.607,267.264,1.507.381,652.434,859.469,1.045.837,136.316,436.443,875.672,202.673,291.524,168.371,27.665,2.022.204,100.149,3.130.712,36.665,531.880,141.600,727.085,74.172,3.450.900,1.472.307,935.669,575.789,215.802,1.403.653,236.084,3.262.712,334.898,2.448.501,1.860.340,1.498.271,526.639,304.137,80.969.556