,37paddington.json,ageofuncertainty.json,ahomegrownjournal.json,angalmond.json,baileysbeerblog.json,blissout.json,blog.json,bluehousejournal.json,boomergirlsguide.json,bornimaginative.json,boyett-brinkley.json,cashonlyliving.json,chefowings.json,cheshire-wife.json,christasrandomthoughts.json,chuckgame.json,cocktailvirgin.json,contrarygoddess.json,cristurple.json,crossblackcountry.json,crpgaddict.json,culturalsnow.json,cuponthebus.json,danabugseyeview.json,disasterfilm.json,donnachloe.json,dorcassmucker.json,e-i-e-i-omg-bybiddie.json,ellenshead.json,esimsauthor.json,fatroland.json,feathersinthenest.json,fieldfen.json,fraiselachrymose.json,frankiesknittedstuff.json,frikosmusings.json,frugaldom.json,frugalistanbul.json,fruitsandgardening.json,gardenpunchlist.json,glassincarnate.json,growing-in-the-fens.json,gskgp.json,howtoplanwriteanddevelopabook.json,iheartcookingclubs.json,inkyfool.json,interimarrangements.json,johnkurman.json,jstheater.json,kathleenkirkpoetry.json,kimmy-cookingpleasure.json,kristinberkeyabbott.json,kristybowen.json,lesedgertononwriting.json,lifeatgoldenpines.json,lindahoof.json,littlehomesteadinboise.json,makedohomemaker.json,markmilliorn.json,meanqueen-lifeaftermoney.json,milkingsquirrels.json,momsscribbles.json,mrsnesbittsspace.json,mrssplapthing.json,mumssimplylivingblogat.json,myheartisalwayshome.json,mynext20yearsofliving.json,myrandomthoughtsblogaddress.json,mythreadbearlife.json,newamusements.json,newframereference.json,newlifeonthefarmlastchapter.json,northernlivingallowance.json,off-the-shelfbooks.json,onefamilyoneincome.json,opiejett.json,outmywindowtoday.json,picsandpiecing.json,pioneerwomanatheart.json,practical-parsimony.json,quickshout.json,randomphoto.json,randomthoughtsbytina.json,readingwhilewhite.json,relaxshacks.json,rightsizeandrethink.json,samandwriting.json,shadowsteve.json,shefalishahchoksi.json,showmelibrarian.json,simpleslug.json,slaythemonster.json,stitchesandseams.json,stonekettle.json,stopprocrastinatingandjustdoit.json,tabordays.json,talesfrombeyondthenook.json,teachertomsblog.json,tearoomofdespair.json,thatbritishwoman.json,thatextralevel.json,the-cooking-of-joy.json,thebuddhadiaries.json,theelementarymathmaniac.json,thewertzone.json,thriftathome.json,unbaggingthecats.json,understandingsociety.json,vegancrunk.json,walkingarizona.json,writinginthedarktw.json,www.json
2024,1963.0,,611.0,2011.0,,,,,366.0,,874.0,258.0,2001.0,,73.0,,4588.0,,,670.0,31669.0,,2044.0,2054.0,,,,,5625.0,,345.0,,10165.0,,2228.0,,,594.0,,,9198.0,,,,855.0,,5159.0,2187.0,152.0,,,,,,,5967.0,1209.0,1541.0,,2432.0,,,,413.0,,871.0,,,841.0,600.0,222.0,,,,1233.0,,993.0,,10735.0,1753.0,,961.0,,,172.0,200.0,,15928.0,,,,,1008.0,1980.0,,1482.0,467.0,,14.0,955.0,299.0,,,,8558.0,,3607.0,,760.0,,2865.0,7305.0
2023,29632.0,,15346.0,114438.0,141023.0,22058.0,1297.0,,31562.0,,49342.0,31100.0,89006.0,,14782.0,291.0,67504.0,0.0,,19329.0,251400.0,13102.0,30929.0,20354.0,,,27700.0,1739.0,83798.0,,8748.0,,141438.0,,15270.0,8318.0,1657.0,21022.0,5307.0,16953.0,15211.0,541.0,1386.0,5842.0,9164.0,3891.0,26939.0,13325.0,152.0,15266.0,,152511.0,82598.0,14786.0,11621.0,81152.0,9377.0,38822.0,61203.0,105517.0,8736.0,17038.0,,8884.0,,1524.0,7281.0,51087.0,25120.0,26889.0,26368.0,1693.0,,,205192.0,47711.0,47085.0,1749.0,101176.0,29420.0,,32157.0,49165.0,,646.0,446.0,,169524.0,,,135838.0,2686.0,11009.0,73507.0,,12587.0,19120.0,239041.0,92976.0,32317.0,28823.0,1061.0,,,77676.0,2009.0,151271.0,70618.0,37323.0,4519.0,50834.0,102544.0
2022,38567.0,2842.0,20258.0,119978.0,138279.0,20997.0,,,26850.0,,38359.0,27671.0,58961.0,995.0,15682.0,755.0,69276.0,0.0,,23228.0,294569.0,10656.0,37067.0,28123.0,,,29007.0,5253.0,86016.0,,23544.0,430.0,137366.0,3578.0,15099.0,11150.0,,33043.0,3713.0,10831.0,,,2202.0,6429.0,9674.0,,19860.0,16256.0,1751.0,27358.0,,163128.0,76274.0,7083.0,15664.0,94216.0,16844.0,51116.0,63500.0,127656.0,16089.0,18347.0,,12604.0,,2514.0,13952.0,58772.0,22082.0,32262.0,219359.0,1355.0,1459.0,,271048.0,3343.0,135143.0,12024.0,77936.0,,,37922.0,56097.0,,1397.0,6620.0,,161890.0,6916.0,,90795.0,561.0,,79450.0,1368.0,20482.0,11153.0,228873.0,138129.0,2582.0,43129.0,1605.0,,,195174.0,4494.0,159360.0,108145.0,51125.0,9007.0,43038.0,137287.0
2021,46093.0,1993.0,25825.0,124339.0,111658.0,21643.0,2562.0,,31672.0,,20902.0,24640.0,79144.0,3735.0,7071.0,2290.0,69431.0,0.0,,25511.0,342985.0,12085.0,47911.0,33537.0,,,42175.0,13487.0,102647.0,,32235.0,742.0,163887.0,10873.0,22666.0,11332.0,1096.0,37212.0,8251.0,11270.0,2662.0,573.0,211.0,6926.0,10343.0,9500.0,23709.0,20553.0,2397.0,24003.0,14321.0,167991.0,147724.0,2675.0,18671.0,82672.0,34287.0,61048.0,61267.0,107258.0,52723.0,17774.0,,15593.0,,560.0,21641.0,101170.0,27905.0,41069.0,230841.0,4291.0,15151.0,,288765.0,93329.0,154053.0,16504.0,83504.0,,1605.0,32856.0,53666.0,858.0,3213.0,,,161786.0,,,145017.0,884.0,2964.0,85538.0,3543.0,16431.0,4839.0,249476.0,76761.0,17895.0,25074.0,565.0,13656.0,662.0,213187.0,5607.0,189616.0,127460.0,57798.0,22072.0,46235.0,145246.0
2020,44730.0,,35147.0,119523.0,127909.0,17305.0,,,48094.0,,24514.0,60811.0,89760.0,8197.0,1705.0,7720.0,78945.0,0.0,,28610.0,406667.0,18372.0,67591.0,36371.0,,,53904.0,23020.0,110811.0,,60979.0,,101605.0,12362.0,20651.0,16536.0,168.0,39301.0,10575.0,15664.0,,5373.0,621.0,5968.0,12518.0,4715.0,27276.0,17860.0,2223.0,45841.0,23219.0,161194.0,87404.0,6376.0,21772.0,77636.0,35504.0,69218.0,67324.0,95512.0,35332.0,30672.0,,25023.0,4643.0,3602.0,32634.0,152125.0,24724.0,28512.0,236566.0,9959.0,1902.0,13062.0,247549.0,78459.0,125640.0,28824.0,90492.0,,6131.0,39444.0,60220.0,9627.0,2434.0,22760.0,,158481.0,1201.0,,188399.0,2046.0,,80766.0,1821.0,28750.0,,230499.0,83804.0,6276.0,44673.0,1783.0,53373.0,10723.0,231442.0,4178.0,198190.0,112680.0,82699.0,31596.0,42327.0,244098.0
2019,38131.0,864.0,41680.0,126631.0,124020.0,15357.0,,,23540.0,,18221.0,71732.0,98569.0,2956.0,1170.0,2053.0,102120.0,0.0,,27544.0,264926.0,19873.0,47777.0,22783.0,,,40368.0,40812.0,80199.0,2765.0,26765.0,2412.0,13431.0,5585.0,27489.0,17526.0,,40585.0,1173.0,34855.0,594.0,2416.0,2798.0,4413.0,9675.0,4099.0,31669.0,1561.0,3559.0,4829.0,14203.0,165720.0,112764.0,7086.0,24641.0,30486.0,31193.0,72644.0,81098.0,77295.0,,50289.0,,21320.0,5175.0,10997.0,48684.0,106784.0,24058.0,39677.0,156501.0,7259.0,27198.0,79388.0,205427.0,14074.0,141594.0,42731.0,95923.0,,8508.0,29750.0,75995.0,21870.0,2550.0,31212.0,,149580.0,1518.0,,204420.0,3853.0,3852.0,113268.0,3529.0,28324.0,,185711.0,106582.0,32009.0,49409.0,1371.0,47690.0,1737.0,232464.0,11576.0,221232.0,82438.0,74104.0,34265.0,30963.0,264778.0
2018,44616.0,2425.0,51356.0,129993.0,133388.0,11512.0,,,29320.0,,43618.0,107557.0,72988.0,658.0,3021.0,10945.0,97326.0,0.0,,14007.0,286833.0,12958.0,66188.0,19827.0,,,44100.0,50967.0,72493.0,34499.0,18313.0,,26288.0,5685.0,35199.0,13780.0,10002.0,23296.0,2348.0,28093.0,14852.0,1135.0,4445.0,5165.0,10935.0,5301.0,19319.0,613.0,82528.0,3116.0,18680.0,168529.0,90995.0,38364.0,20261.0,40961.0,48881.0,144781.0,74767.0,101903.0,,35750.0,,32246.0,8496.0,22365.0,36793.0,70143.0,22571.0,32111.0,159286.0,1741.0,15177.0,130019.0,171270.0,14821.0,119707.0,5112.0,59177.0,128012.0,4355.0,33691.0,77219.0,18994.0,4905.0,80747.0,,141888.0,,,228071.0,8222.0,5737.0,130104.0,5553.0,29942.0,,189201.0,98466.0,24839.0,63831.0,7425.0,53481.0,4830.0,281235.0,11791.0,245293.0,37265.0,106247.0,47227.0,14052.0,257390.0
2017,49957.0,,47615.0,130729.0,143348.0,19171.0,,,33166.0,,47490.0,7760.0,75273.0,4793.0,3838.0,39690.0,94491.0,0.0,,18793.0,306773.0,9912.0,65805.0,26520.0,,,50194.0,50377.0,76856.0,31086.0,35382.0,28386.0,58905.0,7595.0,27991.0,18597.0,4997.0,28709.0,1984.0,26320.0,157373.0,4090.0,3552.0,4811.0,10967.0,6796.0,34756.0,3833.0,37841.0,9162.0,39982.0,161804.0,42326.0,24244.0,23155.0,14985.0,35106.0,179414.0,65427.0,148751.0,,40580.0,,21534.0,13147.0,44765.0,20921.0,68871.0,24466.0,35188.0,146285.0,,27509.0,144271.0,169887.0,14121.0,114225.0,22889.0,54035.0,130826.0,19897.0,20551.0,75385.0,54265.0,9676.0,26386.0,,136322.0,6015.0,,183801.0,1555.0,5728.0,175945.0,6959.0,30603.0,405.0,192183.0,57606.0,23283.0,64246.0,10787.0,45860.0,12300.0,287187.0,26061.0,275601.0,82637.0,136385.0,38325.0,13445.0,222939.0
2016,46425.0,13315.0,54324.0,117153.0,138010.0,39394.0,,,25231.0,,57679.0,,38272.0,8067.0,12883.0,35960.0,108903.0,0.0,,19964.0,246459.0,3700.0,36417.0,17227.0,,,46616.0,49293.0,56517.0,30354.0,25753.0,8890.0,55828.0,9749.0,,21362.0,16372.0,7613.0,10602.0,26171.0,24199.0,22360.0,3857.0,4496.0,11543.0,2777.0,34019.0,42256.0,58261.0,14086.0,59704.0,178045.0,15748.0,30552.0,29251.0,,21170.0,216912.0,71633.0,159507.0,,60578.0,,30179.0,30365.0,38567.0,29406.0,54700.0,22083.0,17160.0,148181.0,,24976.0,116828.0,122662.0,1406.0,71111.0,14747.0,24908.0,75744.0,2274.0,21547.0,42461.0,67663.0,6500.0,,1874.0,125962.0,5439.0,,199871.0,1959.0,10759.0,179207.0,5525.0,33095.0,13625.0,194962.0,76286.0,26198.0,73327.0,9764.0,26148.0,8170.0,249669.0,18762.0,246926.0,98767.0,139593.0,30757.0,12443.0,276082.0
2015,59518.0,22745.0,52231.0,120965.0,115654.0,31838.0,,,28165.0,,44563.0,,9580.0,7362.0,12665.0,12239.0,119359.0,0.0,,12167.0,255030.0,5879.0,51156.0,34283.0,,242.0,57473.0,46009.0,57406.0,31409.0,18017.0,19498.0,66458.0,10830.0,,29307.0,33538.0,11655.0,1576.0,24949.0,8322.0,73850.0,2500.0,4811.0,11865.0,3686.0,28834.0,43514.0,78931.0,12438.0,63770.0,177121.0,24718.0,45020.0,26257.0,,30338.0,190249.0,59242.0,178424.0,,62208.0,,39542.0,31180.0,16277.0,26464.0,28953.0,30324.0,14902.0,121520.0,,22085.0,155876.0,144356.0,,141457.0,53617.0,21918.0,80185.0,3055.0,16694.0,86011.0,29396.0,14043.0,,25791.0,126357.0,6472.0,,257457.0,454.0,7368.0,173581.0,7402.0,49520.0,4738.0,218156.0,70152.0,58251.0,84322.0,14063.0,70633.0,31037.0,208713.0,25756.0,233379.0,83061.0,141708.0,39975.0,6876.0,335775.0
2014,82813.0,33159.0,57181.0,109725.0,105197.0,14379.0,,,37587.0,,53113.0,48466.0,16565.0,5922.0,27473.0,9932.0,60856.0,0.0,,12172.0,321665.0,32104.0,79985.0,33724.0,,6639.0,77389.0,58629.0,55057.0,26458.0,18296.0,46638.0,43690.0,14927.0,,41507.0,64920.0,24748.0,3148.0,22380.0,7772.0,109149.0,13801.0,19208.0,9656.0,8779.0,25632.0,48705.0,50339.0,34689.0,77069.0,183593.0,14685.0,77432.0,36043.0,,48439.0,,47913.0,198415.0,,67378.0,,46665.0,25824.0,20859.0,11360.0,,27429.0,13562.0,53039.0,,11213.0,1045.0,81053.0,,99157.0,28825.0,19698.0,129374.0,4140.0,16565.0,51850.0,,18184.0,,,116308.0,11675.0,31446.0,255613.0,3869.0,20420.0,223513.0,5469.0,48630.0,9478.0,229100.0,108239.0,40578.0,95906.0,38751.0,85547.0,105874.0,96141.0,30261.0,228050.0,102865.0,132798.0,26388.0,8998.0,158112.0
2013,72767.0,36729.0,67006.0,116598.0,88918.0,14995.0,,,53175.0,,33115.0,73218.0,20738.0,1970.0,22424.0,50992.0,104789.0,0.0,,4277.0,328750.0,37416.0,62944.0,40722.0,,675.0,52968.0,55904.0,51384.0,15162.0,9101.0,101328.0,23017.0,20657.0,,51367.0,98867.0,28962.0,,,8011.0,127973.0,21142.0,7463.0,16706.0,26022.0,28464.0,71810.0,95507.0,36549.0,83444.0,206686.0,38054.0,93982.0,35309.0,,48253.0,,45610.0,211330.0,,35323.0,,67778.0,35972.0,24415.0,26140.0,,29459.0,13470.0,,,12169.0,,105987.0,,139594.0,38186.0,46965.0,121709.0,2800.0,17073.0,73502.0,,52313.0,,,116351.0,8878.0,79102.0,234106.0,6301.0,37202.0,249032.0,5204.0,56451.0,8636.0,239503.0,107136.0,78275.0,2750.0,39417.0,69594.0,60751.0,221946.0,41655.0,209467.0,131489.0,127427.0,54999.0,11437.0,79007.0
2012,68244.0,56071.0,85041.0,151561.0,67866.0,30346.0,,,52192.0,,37916.0,107074.0,2632.0,16537.0,38462.0,32939.0,131096.0,0.0,,10316.0,185628.0,47259.0,76524.0,59644.0,,6071.0,53414.0,73620.0,56971.0,,27143.0,93912.0,51166.0,25315.0,,59941.0,51170.0,19540.0,,,21788.0,97981.0,37749.0,38216.0,14920.0,31892.0,21587.0,88917.0,151654.0,66158.0,102697.0,204579.0,33140.0,69211.0,38315.0,,61978.0,,44837.0,200318.0,,13865.0,,72413.0,38259.0,22889.0,52674.0,,21274.0,16883.0,,,40767.0,,96444.0,,117273.0,56088.0,51474.0,132642.0,9489.0,18623.0,66426.0,,78191.0,,,108362.0,13204.0,71488.0,249915.0,4275.0,44603.0,287763.0,5738.0,45722.0,1711.0,330373.0,105145.0,98410.0,,18924.0,135845.0,,188645.0,48566.0,86509.0,140573.0,100753.0,53185.0,7393.0,57526.0
2011,86011.0,54310.0,122386.0,190886.0,5984.0,47396.0,,,25856.0,,48115.0,92605.0,9004.0,12939.0,19243.0,3500.0,40615.0,0.0,,9091.0,224888.0,42821.0,82384.0,78921.0,,,58720.0,76086.0,74063.0,,32532.0,132244.0,87944.0,21398.0,,77131.0,117593.0,,,,43000.0,70770.0,27518.0,6278.0,15773.0,73470.0,22764.0,87691.0,156190.0,124133.0,48285.0,214449.0,37558.0,84686.0,52148.0,,17605.0,,43091.0,183735.0,,16760.0,,48644.0,20874.0,26630.0,104916.0,,,15292.0,,,833.0,,37618.0,,100349.0,68210.0,60392.0,148231.0,7088.0,21205.0,42210.0,,97300.0,,,58003.0,9352.0,,221552.0,,117175.0,275678.0,5838.0,40322.0,,316527.0,138914.0,111569.0,,,153636.0,,162088.0,39084.0,,163763.0,89055.0,30877.0,13231.0,73979.0
2010,56541.0,64170.0,114504.0,143148.0,50884.0,28344.0,,,,,17799.0,95930.0,17862.0,13610.0,8264.0,16505.0,,0.0,,11948.0,169095.0,36789.0,,91725.0,,688.0,58057.0,34395.0,84535.0,,61365.0,312156.0,79197.0,17129.0,,79961.0,45180.0,,,,44148.0,82327.0,58389.0,15499.0,17748.0,119518.0,24741.0,88610.0,81267.0,152183.0,54.0,154966.0,35576.0,161654.0,58903.0,,,,39080.0,142384.0,,20652.0,,43261.0,2585.0,26688.0,57463.0,,,30486.0,,,16432.0,,9116.0,,,71249.0,36475.0,67941.0,12140.0,17360.0,30037.0,,,,,50462.0,12763.0,,295623.0,,46166.0,288063.0,9131.0,45867.0,,248660.0,85295.0,128876.0,,18085.0,169928.0,,172285.0,61670.0,,163903.0,89611.0,50726.0,,81570.0
2009,43422.0,49144.0,105629.0,152569.0,47201.0,42974.0,,,,,20617.0,8552.0,1746.0,24683.0,0.0,12679.0,,0.0,,15201.0,,30671.0,,34560.0,,428.0,67687.0,,83626.0,,46402.0,277310.0,73483.0,10140.0,,55157.0,,3920.0,,,93041.0,82164.0,32509.0,28914.0,4649.0,33597.0,317.0,14925.0,131981.0,5840.0,,120361.0,29571.0,,7322.0,,,,20576.0,98850.0,,8845.0,,43903.0,704.0,36973.0,,,,15854.0,,,31791.0,,,,,79389.0,24661.0,,26389.0,19092.0,35428.0,,,,,66836.0,16716.0,,240234.0,,33013.0,341515.0,52904.0,62171.0,,158635.0,126802.0,152050.0,,42623.0,154534.0,,243813.0,3428.0,,173071.0,63732.0,34539.0,,79891.0
2008,2962.0,50140.0,50484.0,97969.0,3300.0,24655.0,,,,,26434.0,,,21912.0,,29118.0,,0.0,,2322.0,,47805.0,,,,616.0,74335.0,,,,13206.0,5080.0,7999.0,,,308.0,,,,,89131.0,47260.0,28592.0,10380.0,,,,,120905.0,,,12006.0,36532.0,366.0,,,,,,,,,,67854.0,,33973.0,,,,14853.0,,,24702.0,,,,,84787.0,,,27211.0,14710.0,,,,,,57980.0,,,,,61781.0,257878.0,21616.0,36532.0,,,,101306.0,,9578.0,156910.0,,132951.0,,,146037.0,64168.0,18182.0,,6234.0
2007,,44331.0,,,,56150.0,,,,,1501.0,,,16918.0,,,,0.0,,,,52018.0,,,,5210.0,57276.0,,,,22694.0,,,,,,,,,,99643.0,,381.0,,,,,,162391.0,,,,52383.0,,,,,,,,,,,79900.0,,27223.0,,,,6132.0,,,,,,,,27503.0,,,1234.0,15337.0,,,,,,73040.0,,,,,88485.0,101563.0,,30517.0,,,,,,,166818.0,,52911.0,,,35568.0,2985.0,,,
2006,,24067.0,,,,77081.0,,,,,707.0,,,,,,,0.0,,,,74826.0,,,,10612.0,56833.0,,,,22102.0,,,,,,,,,,102835.0,,,,,,,,260971.0,,,,55741.0,,,,,,,,,,,124035.0,,7867.0,,,,6986.0,,,,,,,,,,,,18404.0,,,,,,27144.0,,,,,32320.0,,,48410.0,,,,,,,,,6627.0,,,,,,,
2005,,,,,,50676.0,,,,,,,,,,,,0.0,,,,7107.0,,,,,43571.0,,,,6047.0,,,,,,,,,,,,,,,,,,268649.0,,,,58145.0,,,,,,,,,,,125736.0,,,,,,10390.0,,,,,,,,,,,,9455.0,,,,,,,,,,,1657.0,,,48482.0,,,,,,,,,,,,,,,,
2004,,,,,,62746.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,1899.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3046.0,,,,,,,,,,,633.0,,,12765.0,,,,,,,,,,,,,,,,
2003,,,,,,97942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,16758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13167.0,,,,,,,,,,,,,,,,,,,
2077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,
